Borough,Park or Playground,Week Start Date,Week End date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Total Attendance
Bronx,Abrams Playground,08/12/2018,08/18/2018,0,0,90,95,85,100,100,470
Brooklyn,St Andrew's Playground - CPI,08/12/2018,08/18/2018,0,0,65,68,72,71,77,353
Brooklyn,Sternberg Park - CPI,07/29/2018,08/04/2018,0,0,39,44,42,43,40,208
Brooklyn,Sternberg Park - CPI,07/22/2018,07/28/2018,0,0,35,38,40,42,43,198
Brooklyn,Sternberg Park - CPI,08/05/2018,08/11/2018,0,0,0,49,51,47,46,193
Brooklyn,William Sheridan Playground - CPI,07/22/2018,07/28/2018,0,0,195,201,199,0,0,595
Brooklyn,Sternberg Park - CPI,08/12/2018,08/18/2018,0,0,40,45,50,55,48,238
Manhattan,Matthew Sapolin,07/08/2018,07/14/2018,0,0,0,0,0,0,36,36
Queens,Beach 30th Playground - CPI,05/21/2017,05/27/2017,0,0,110,115,0,99,122,446
Brooklyn,William Sheridan Playground - CPI,08/05/2018,08/11/2018,0,0,0,190,173,205,198,766
Brooklyn,William Sheridan Playground - CPI,08/12/2018,08/18/2018,0,0,182,187,203,195,191,958
Manhattan,Matthew Sapolin,08/12/2018,08/18/2018,0,0,0,0,0,0,108,108
Manhattan,Sol Lain Playground - CPI,08/12/2018,08/18/2018,0,0,92,84,91,77,69,413
Manhattan,Seward Park - CPI,08/12/2018,08/18/2018,0,0,525,0,375,0,0,900
Manhattan,St. Nicholas playground - CPI,08/12/2018,08/18/2018,0,0,111,109,97,0,0,317
Manhattan,Thomas Jefferson Park,08/12/2018,08/18/2018,0,0,95,86,77,68,50,376
Manhattan,Tompkins Square Park - CPI,08/12/2018,08/18/2018,0,0,97,107,83,121,79,487
Manhattan,Poor Richard's Playground - CPI,08/12/2018,08/18/2018,0,0,160,185,195,220,240,1000
Queens,Yellowstone Park,08/05/2018,08/11/2018,0,0,41,73,69,71,0,254
Brooklyn,John J Carty Park - CPI,05/22/2017,05/27/2017,52,0,56,42,60,54,74,338
Staten Island,PS 35,08/05/2018,08/11/2018,65,70,55,0,90,76,0,356
Queens,Astoria Heights Playground,08/05/2018,08/11/2018,0,0,72,85,80,77,0,314
Staten Island,PS 35,08/12/2018,08/18/2018,89,50,85,0,77,35,0,336
Staten Island,Schmul Playground,07/29/2018,08/04/2018,0,0,30,50,60,74,60,274
Staten Island,Schmul Playground,08/12/2018,08/18/2018,0,0,25,40,30,55,45,195
Staten Island,Schmul Playground,08/05/2018,08/11/2018,0,0,40,55,35,40,50,220
Staten Island,De Matti Park - CPI,08/05/2018,08/11/2018,0,0,60,70,78,75,0,283
Staten Island,De Matti Park - CPI,08/12/2018,08/18/2018,0,0,73,82,65,72,0,292
Staten Island,Corporal Thompson - CPI,08/05/2018,08/11/2018,0,0,125,140,130,165,200,760
Staten Island,Corporal Thompson - CPI,08/05/2018,08/11/2018,0,0,45,75,55,85,0,260
Bronx,Barreto Playground - CPI,05/28/2017,06/03/2017,0,0,20,15,0,18,63,116
Staten Island,Dugan Playground,08/05/2018,08/11/2018,0,0,51,65,60,64,0,240
Staten Island,Dugan Playground,08/12/2018,08/18/2018,0,0,71,60,52,53,60,296
Staten Island,Corporal Thompson - CPI,08/12/2018,08/18/2018,0,0,110,120,125,150,190,695
Staten Island,Christopher J. Igneri Playground - CPI,08/12/2018,08/18/2018,0,0,14,0,26,25,20,85
Queens,Linden Park,08/12/2018,08/18/2018,0,0,190,210,0,0,150,550
Queens,Colden Playground - CPI,08/12/2018,08/18/2018,0,0,75,115,0,75,0,265
Queens,Bowne Park,08/12/2018,08/18/2018,0,0,96,84,76,35,63,354
Queens,Astoria Heights Playground,08/12/2018,08/18/2018,0,0,72,83,65,81,0,301
Queens,Maple Playground - CPI,08/12/2018,08/18/2018,0,0,120,120,150,175,0,565
Queens,Mauro Playground,08/12/2018,08/18/2018,0,0,25,20,30,0,0,75
Queens,Linden Playground (Park of the Americas) - CPI,04/23/2017,04/29/2017,0,0,395,75,375,465,535,1845
Queens,Bayswater Park - CPI,05/21/2017,05/27/2017,0,0,99,87,0,153,102,441
Queens,Juniper Park,08/12/2018,08/18/2018,0,0,73,134,74,0,0,281
Queens,Beach 59th Street Playground - CPI,08/12/2018,08/18/2018,0,0,39,66,42,75,15,237
Queens,Brookville Playground,08/12/2018,08/18/2018,0,0,104,123,80,162,0,469
Queens,Bayswater Park - CPI,08/12/2018,08/18/2018,0,0,36,94,56,81,0,267
Queens,London Planetree,08/12/2018,08/18/2018,0,0,52,171,178,140,0,541
Queens,Beach 30th Playground - CPI,08/12/2018,08/18/2018,0,0,45,37,72,0,0,154
Queens,Hoover - Manton Playgrounds,08/12/2018,08/18/2018,0,0,79,40,62,52,0,233
Queens,Rufus King Park,08/18/2018,08/18/2018,0,0,203,189,231,197,185,1005
Queens,Lower Highland Playground,08/12/2018,08/18/2018,0,0,70,130,190,130,0,520
Brooklyn,Garibaldi Playground - CPI,08/05/2018,08/11/2018,0,0,0,13,14,11,0,38
Bronx,Slattery Playground - CPI,05/28/2017,06/03/2017,0,0,25,55,0,65,80,225
Queens,Queensbridge Park,08/12/2018,08/18/2018,0,0,34,42,96,73,30,275
Brooklyn,Garibaldi Playground - CPI,07/29/2018,08/04/2018,0,0,11,9,15,16,10,61
Bronx,Slattery Playground - CPI,08/19/2018,08/25/2018,0,0,60,70,70,80,0,280
Bronx,Loreto Playground,08/19/2018,08/25/2018,0,0,60,60,60,0,0,180
Bronx,PFC Lozada Playground - CPI,08/19/2018,08/25/2018,0,0,31,38,0,34,0,103
Staten Island,De Matti Park - CPI,08/19/2018,08/25/2018,0,0,88,72,128,112,0,400
Brooklyn,John J Carty Park - CPI,07/22/2018,07/28/2018,0,0,187,178,191,0,0,556
Bronx,Martin Van Buren Playground,08/19/2018,08/25/2018,0,0,41,60,45,52,0,198
Bronx,St Mary's East Playground,08/19/2018,08/25/2018,0,0,20,25,27,21,0,93
Bronx,Rev. James Polite Playground - CPI,08/19/2018,08/25/2018,0,0,11,17,13,14,0,55
Brooklyn,Dyker Beach Park - CPI,05/22/2017,05/27/2017,0,0,24,60,50,60,65,259
Bronx,Abrams Playground,08/19/2018,08/25/2018,0,0,100,90,95,85,100,470
Bronx,Zimmerman Playground,08/19/2018,08/25/2018,0,0,28,61,65,37,60,251
Bronx,Horseshoe Playground - CPI,08/19/2018,08/25/2018,0,0,26,34,37,41,0,138
Bronx,Barreto Playground - CPI,08/19/2018,08/25/2018,0,0,42,53,57,45,15,212
Bronx,Mott Playground - CPI,08/19/2018,08/25/2018,0,0,20,0,0,22,20,62
Bronx,Tremont Park,08/19/2018,08/25/2018,0,0,40,35,15,50,60,200
Bronx,Dawson Playground - CPI,08/19/2018,08/25/2018,0,0,40,76,37,0,56,209
Bronx,St. James Park,08/19/2018,08/25/2018,0,0,160,160,180,180,150,830
Bronx,Flynn Playground - CPI,08/19/2018,08/25/2018,0,0,50,35,40,50,50,225
Queens,Bowne Park,08/19/2018,08/25/2018,0,0,84,96,0,0,0,180
Bronx,Claremont Park,05/28/2017,06/03/2017,0,0,63,21,0,83,107,274
Bronx,Tiffany Playground,08/19/2018,08/25/2018,0,0,58,35,47,41,27,208
Queens,Linden Park,08/19/2018,08/19/2018,0,0,370,275,0,0,0,645
Queens,Maple Playground - CPI,08/19/2018,08/25/2018,0,0,120,120,0,150,0,390
Bronx,St Mary's East Playground,08/19/2018,08/25/2018,0,0,20,25,60,21,0,126
Bronx,PO Serrano Playground,08/19/2018,08/25/2018,0,0,40,43,35,50,50,218
Manhattan,Columbus Park - CPI,08/19/2018,08/25/2018,0,0,310,385,0,0,430,1125
Bronx,Clark Playground - CPI,08/19/2018,08/25/2018,0,0,12,22,60,18,24,136
Queens,Colden Playground - CPI,08/19/2018,08/25/2018,0,0,120,160,100,140,0,520
Manhattan,Sol Lain Playground - CPI,08/19/2018,08/25/2018,0,0,87,0,0,0,52,139
Manhattan,Seward Park - CPI,08/19/2018,08/25/2018,0,0,575,0,0,0,0,575
Bronx,Martin Van Buren Playground,05/28/2017,06/03/2017,0,0,53,30,0,78,68,229
Manhattan,Sol Lain Playground - CPI,08/12/2018,08/18/2018,0,0,92,84,91,77,69,413
Manhattan,Tompkins Square Park - CPI,08/12/2018,08/18/2018,0,0,97,107,83,121,79,487
Manhattan,Tompkins Square Park - CPI,08/19/2018,08/25/2018,0,0,68,0,0,0,182,250
Manhattan,Poor Richard's Playground - CPI,08/12/2018,08/18/2018,0,0,160,185,195,220,240,1000
Manhattan,Thomas Jefferson Park,08/12/2018,08/18/2018,0,0,95,86,77,68,50,376
Manhattan,Seward Park - CPI,08/12/2018,08/18/2018,0,0,525,0,375,0,0,900
Staten Island,Dugan Playground,08/19/2018,08/25/2018,0,0,35,45,49,58,65,252
Staten Island,McDonalds Playground,08/12/2018,08/18/2018,0,0,52,0,26,124,12,214
Manhattan,St. Nicholas playground - CPI,08/12/2018,08/18/2018,0,0,111,109,97,0,0,317
Manhattan,Jackie Robinson Playground - CPI,08/19/2018,08/25/2018,0,0,117,99,470,97,106,889
Bronx,Rev. James Polite Playground - CPI,05/28/2017,06/03/2017,0,0,20,70,0,45,50,185
Manhattan,St. Nicholas playground - CPI,08/19/2018,08/25/2018,0,0,100,96,0,0,88,284
Manhattan,J Hood Wright - CPI,08/19/2018,08/25/2018,0,0,187,199,0,183,215,784
Manhattan,Carmansville Playground - CPI,08/19/2018,08/25/2018,0,0,370,440,0,470,600,1880
Staten Island,Schmul Playground,08/19/2018,08/25/2018,0,0,30,50,45,55,60,240
Manhattan,Thomas Jefferson Park,08/19/2018,08/25/2018,0,0,110,98,0,180,200,588
Manhattan,Poor Richard's Playground - CPI,08/19/2018,08/25/2018,0,0,160,175,0,150,180,665
Manhattan,Happy Warrior Playground,08/19/2018,08/25/2018,0,0,75,65,0,80,90,310
Manhattan,Sheltering Arms Pool,08/12/2018,08/18/2018,0,0,47,56,0,48,36,187
Manhattan,Matthew Sapolin,08/19/2018,08/25/2018,0,0,220,0,0,116,154,490
Manhattan,Sheltering Arms Pool,08/19/2018,08/25/2018,0,0,35,25,30,65,54,209
Bronx,Dawson Playground - CPI,05/28/2017,06/03/2017,0,0,0,33,0,42,63,138
Bronx,Tremont Park,08/26/2018,09/01/2018,0,0,15,35,35,10,0,95
Bronx,St Mary's East Playground,08/26/2018,09/01/2018,0,0,18,20,10,10,0,58
Bronx,Dawson Playground - CPI,08/26/2018,09/01/2018,0,0,33,46,61,6,0,146
Manhattan,Matthew Sapolin,08/12/2018,08/18/2018,0,0,0,0,0,0,108,108
Bronx,Horseshoe Playground - CPI,08/26/2018,09/01/2018,0,0,34,36,38,30,0,138
Bronx,Clark Playground - CPI,08/26/2018,09/01/2018,0,0,26,4,26,8,0,64
Bronx,Martin Van Buren Playground,08/26/2018,09/01/2018,0,0,0,0,0,0,0,0
Bronx,Tiffany Playground,08/26/2018,09/01/2018,0,0,45,23,32,12,0,112
Brooklyn,William Sheridan Playground - CPI,08/19/2018,08/25/2018,0,0,120,115,20,10,0,265
